date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:09:23	34427/34427	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20May%202026%2008:09:42%20GMT	https://www.resistecomomujer.com/robots.txt		(from )
03:09:26	153802/153802	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2008:09:42%20GMT	https://www.resistecomomujer.com/	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/index.html	(from )
03:09:28	132763/132763	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20May%202026%2008:09:46%20GMT	https://www.resistecomomujer.com/POST	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/POST.0.delayed	(from https://www.resistecomomujer.com/)
03:09:29	14581/14581	---MCZ	200	added ('OK')	text/javascript	etag:%22d5d618147a856822%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/rcm/apis.google.com/js/clientc932.js	(from https://www.resistecomomujer.com/)
03:09:30	132709/132709	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20May%202026%2008:09:48%20GMT	https://www.resistecomomujer.com/_/ss/	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/_/ss/index.html	(from https://www.resistecomomujer.com/)
03:09:31	153827/153827	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2008:09:48%20GMT	https://www.resistecomomujer.com/inicio	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/inicio.html	(from https://www.resistecomomujer.com/)
03:09:32	143021/143021	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2008:09:50%20GMT	https://www.resistecomomujer.com/cortometraje	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/cortometraje.html	(from https://www.resistecomomujer.com/)
03:09:34	143080/143080	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2008:09:52%20GMT	https://www.resistecomomujer.com/historias/intro	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/historias/intro.html	(from https://www.resistecomomujer.com/)
03:09:35	147607/147607	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2008:09:53%20GMT	https://www.resistecomomujer.com/historias/lia-y-vera	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/historias/lia-y-vera.html	(from https://www.resistecomomujer.com/)
03:09:36	147666/147666	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2008:09:54%20GMT	https://www.resistecomomujer.com/historias/alexa-y-sofia	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/historias/alexa-y-sofia.html	(from https://www.resistecomomujer.com/)
03:09:37	147747/147747	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2008:09:56%20GMT	https://www.resistecomomujer.com/historias/%c3%a1ngela	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/historias/%c3%a1ngela.html	(from https://www.resistecomomujer.com/)
03:09:39	147595/147595	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2008:09:57%20GMT	https://www.resistecomomujer.com/historias/amelia	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/historias/amelia.html	(from https://www.resistecomomujer.com/)
03:09:42	147616/147616	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2008:09:58%20GMT	https://www.resistecomomujer.com/historias/ana	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/historias/ana.html	(from https://www.resistecomomujer.com/)
03:09:43	143001/143001	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2008:10:01%20GMT	https://www.resistecomomujer.com/historias/final	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/historias/final.html	(from https://www.resistecomomujer.com/)
03:09:44	40332/40332	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2008%20May%202026%2008:10:03%20GMT	https://www.resistecomomujer.com/laboratorio-de-creaci%c3%b3n/proceso-creativo	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/laboratorio-de-creaci%c3%b3n/proceso-creativo.html	(from https://www.resistecomomujer.com/)
03:09:46	160213/160213	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2008:10:03%20GMT	https://www.resistecomomujer.com/laboratorio-de-creaci%c3%b3n/convocatoria	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/laboratorio-de-creaci%c3%b3n/convocatoria.html	(from https://www.resistecomomujer.com/)
03:09:47	143240/143240	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2008:10:05%20GMT	https://www.resistecomomujer.com/laboratorio-de-creaci%c3%b3n/videos-de-convocatoria	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/laboratorio-de-creaci%c3%b3n/videos-de-convocatoria.html	(from https://www.resistecomomujer.com/)
03:09:48	146686/146686	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2008:10:07%20GMT	https://www.resistecomomujer.com/laboratorio-de-creaci%c3%b3n/estreno	C:/My%20Web%20Sites/rcm/www.resistecomomujer.com/laboratorio-de-creaci%c3%b3n/estreno.html	(from https://www.resistecomomujer.com/)
